Member_number,Date,itemDescription,Item Expiration
2106,20/01/2014,pastry,20/04/2023
3751,15/02/2014,specialty bar,15/05/2023
2001,18/10/2014,butter milk,18/01/2024
3843,06/09/2014,tropical fruit,06/12/2023
4400,31/01/2014,pet care,01/05/2023
4324,25/01/2014,chicken,25/04/2023
3583,31/01/2014,other vegetables,01/05/2023
2312,25/02/2014,other vegetables,25/05/2023
1756,03/06/2014,whole milk,03/09/2023
3486,27/01/2014,whole milk,27/04/2023
2991,30/04/2014,tropical fruit,30/07/2023
1612,19/11/2014,sausage,19/02/2024
4614,01/12/2014,sausage,01/03/2024
3780,24/02/2014,rolls/buns,24/05/2023
3248,16/04/2014,UHT-milk,16/07/2023
2584,14/02/2014,whole milk,14/05/2023
2963,27/05/2014,citrus fruit,27/08/2023
3225,25/06/2014,white wine,25/09/2023
2564,20/12/2014,curd,20/03/2024
3501,13/06/2014,bottled beer,13/09/2023
1450,17/11/2014,root vegetables,17/02/2024
4445,07/11/2014,yogurt,07/02/2024
1825,27/05/2014,zwieback,27/08/2023
2573,19/01/2014,ham,19/04/2023
3003,08/03/2014,citrus fruit,08/06/2023
4851,08/11/2014,whole milk,08/02/2024
1982,12/10/2014,liqueur,12/01/2024
3952,04/11/2014,beef,04/02/2024
4697,07/05/2014,semi-finished bread,07/08/2023
1690,13/03/2014,frankfurter,13/06/2023
1257,16/09/2014,rolls/buns,16/12/2023
3082,04/08/2014,frankfurter,04/11/2023
4909,20/07/2014,hamburger meat,20/10/2023
1814,17/07/2014,other vegetables,17/10/2023
2346,22/03/2014,condensed milk,22/06/2023
2861,15/04/2014,whole milk,15/07/2023
4558,27/08/2014,other vegetables,27/11/2023
3291,14/01/2014,butter milk,14/04/2023
4963,28/01/2014,bottled beer,28/04/2023
4695,22/12/2014,beef,22/03/2024
4002,08/07/2014,curd,08/10/2023
3753,06/09/2014,bottled beer,06/12/2023
1225,02/09/2014,pastry,02/12/2023
4104,01/09/2014,white wine,01/12/2023
4265,06/05/2014,other vegetables,06/08/2023
2504,24/04/2014,whole milk,24/07/2023
3249,22/12/2014,ham,22/03/2024
4461,30/03/2014,tropical fruit,30/06/2023
1489,04/11/2014,sausage,04/02/2024
3911,01/08/2014,other vegetables,01/11/2023
2443,10/03/2014,sausage,10/06/2023
3800,14/07/2014,domestic eggs,14/10/2023
4265,31/10/2014,other vegetables,31/01/2024
4971,07/11/2014,sausage,07/02/2024
2357,15/08/2014,tropical fruit,15/11/2023
3263,17/07/2014,waffles,17/10/2023
2443,02/09/2014,pastry,02/12/2023
3378,20/01/2014,pork,20/04/2023
1870,06/06/2014,waffles,06/09/2023
4355,10/09/2014,pip fruit,10/12/2023
3832,26/06/2014,rolls/buns,26/09/2023
4120,22/09/2014,yogurt,22/12/2023
2555,26/11/2014,frankfurter,26/02/2024
1103,22/11/2014,cream,22/02/2024
3795,02/07/2014,yogurt,02/10/2023
2544,11/01/2014,instant coffee,11/04/2023
4098,12/09/2014,berries,12/12/2023
1274,16/05/2014,dessert,16/08/2023
4535,31/08/2014,whole milk,01/12/2023
1643,12/04/2014,whole milk,12/07/2023
4622,18/05/2014,brown bread,18/08/2023
1309,20/04/2014,sausage,20/07/2023
2193,08/10/2014,onions,08/01/2024
1388,19/11/2014,hygiene articles,19/02/2024
3298,05/02/2014,whole milk,05/05/2023
4488,16/12/2014,other vegetables,16/03/2024
3682,14/09/2014,tropical fruit,14/12/2023
1448,05/07/2014,salty snack,05/10/2023
1340,29/03/2014,whole milk,29/06/2023
4578,12/08/2014,yogurt,12/11/2023
2937,02/08/2014,pork,02/11/2023
1511,28/08/2014,bottled water,28/11/2023
3610,16/09/2014,whole milk,16/12/2023
3140,26/03/2014,salty snack,26/06/2023
2165,27/09/2014,bottled beer,27/12/2023
2059,31/05/2014,ham,31/08/2023
3561,08/04/2014,ice cream,08/07/2023
3552,29/10/2014,chocolate marshmallow,29/01/2024
1942,22/07/2014,pip fruit,22/10/2023
3502,12/07/2014,whole milk,12/10/2023
2929,24/09/2014,yogurt,24/12/2023
1475,21/09/2014,yogurt,21/12/2023
2042,31/08/2014,hygiene articles,01/12/2023
4391,19/10/2014,UHT-milk,19/01/2024
2674,01/05/2014,root vegetables,01/08/2023
3398,04/01/2014,chocolate,04/04/2023
4967,16/09/2014,sausage,16/12/2023
3522,23/03/2014,tropical fruit,23/06/2023
2244,19/01/2014,finished products,19/04/2023
2593,13/10/2014,tropical fruit,13/01/2024
3299,09/01/2014,ham,09/04/2023
1959,02/05/2014,root vegetables,02/08/2023
1648,13/02/2014,newspapers,13/05/2023
3740,19/05/2014,pork,19/08/2023
3505,30/11/2014,coffee,01/03/2024
3350,21/01/2014,citrus fruit,21/04/2023
3948,17/09/2014,bottled beer,17/12/2023
2506,09/05/2014,frankfurter,09/08/2023
1575,14/02/2014,rolls/buns,14/05/2023
2289,20/11/2014,frankfurter,20/02/2024
4621,28/03/2014,chicken,28/06/2023
4408,01/02/2014,pip fruit,01/05/2023
2643,16/04/2014,citrus fruit,16/07/2023
2132,29/07/2014,root vegetables,29/10/2023
4340,24/08/2014,other vegetables,24/11/2023
3421,13/03/2014,frankfurter,13/06/2023
3982,27/05/2014,meat,27/08/2023
3252,14/05/2014,whole milk,14/08/2023
4586,17/05/2014,rolls/buns,17/08/2023
3383,12/02/2014,soda,12/05/2023
4886,18/09/2014,sliced cheese,18/12/2023
2810,05/11/2014,sausage,05/02/2024
2745,27/04/2014,root vegetables,27/07/2023
1983,19/05/2014,hamburger meat,19/08/2023
2660,11/09/2014,tropical fruit,11/12/2023
4193,29/12/2014,bottled beer,29/03/2024
2430,03/02/2014,sausage,03/05/2023
1548,22/02/2014,condensed milk,22/05/2023
4459,21/11/2014,whole milk,21/02/2024
2198,10/08/2014,chicken,10/11/2023
4508,22/08/2014,whole milk,22/11/2023
3322,13/08/2014,beef,13/11/2023
4356,25/06/2014,root vegetables,25/09/2023
1913,11/06/2014,chicken,11/09/2023
4548,20/10/2014,pork,20/01/2024
2585,28/09/2014,frozen vegetables,28/12/2023
4684,31/08/2014,whole milk,01/12/2023
4152,21/12/2014,hamburger meat,21/03/2024
4954,18/07/2014,frankfurter,18/10/2023
2444,19/06/2014,tropical fruit,19/09/2023
1735,06/08/2014,soda,06/11/2023
4038,23/06/2014,yogurt,23/09/2023
3453,04/09/2014,UHT-milk,04/12/2023
3252,29/10/2014,pastry,29/01/2024
4830,20/11/2014,citrus fruit,20/02/2024
3087,27/12/2014,white bread,27/03/2024
2641,23/07/2014,oil,23/10/2023
2648,25/04/2014,root vegetables,25/07/2023
3246,29/10/2014,pork,29/01/2024
2047,05/01/2014,tropical fruit,05/04/2023
1163,11/03/2014,sausage,11/06/2023
3577,05/09/2014,meat,05/12/2023
4972,04/08/2014,sausage,04/11/2023
4789,12/08/2014,curd,12/11/2023
2413,18/01/2014,whole milk,18/04/2023
2824,17/09/2014,sausage,17/12/2023
2547,10/11/2014,sausage,10/02/2024
4585,18/05/2014,shopping bags,18/08/2023
1584,28/12/2014,UHT-milk,28/03/2024
1814,01/02/2014,frankfurter,01/05/2023
3956,15/08/2014,soda,15/11/2023
2722,13/11/2014,citrus fruit,13/02/2024
3957,29/07/2014,chicken,29/10/2023
3621,22/05/2014,pork,22/08/2023
1360,17/01/2014,frankfurter,17/04/2023
3377,29/08/2014,pip fruit,29/11/2023
1634,16/09/2014,chicken,16/12/2023
1209,26/08/2014,ham,26/11/2023
2160,19/05/2014,beverages,19/08/2023
1476,31/03/2014,margarine,01/07/2023
4442,24/03/2014,pork,24/06/2023
3588,17/04/2014,ham,17/07/2023
1141,15/12/2014,berries,15/03/2024
1564,30/10/2014,tropical fruit,30/01/2024
1725,27/10/2014,tropical fruit,27/01/2024
4204,01/04/2014,pastry,01/07/2023
2779,22/11/2014,dessert,22/02/2024
4335,01/03/2014,whole milk,01/06/2023
3755,19/11/2014,ice cream,19/02/2024
1583,09/02/2014,sliced cheese,09/05/2023
3649,12/02/2014,beef,12/05/2023
1531,24/09/2014,meat,24/12/2023
2199,02/06/2014,citrus fruit,02/09/2023
3211,16/12/2014,tropical fruit,16/03/2024
2330,05/11/2014,sausage,05/02/2024
1753,12/12/2014,whole milk,12/03/2024
2695,04/08/2014,frozen meals,04/11/2023
4839,03/06/2014,sausage,03/09/2023
2271,25/06/2014,sausage,25/09/2023
3632,05/10/2014,newspapers,05/01/2024
3710,14/09/2014,whole milk,14/12/2023
4828,08/05/2014,beef,08/08/2023
3553,03/06/2014,pip fruit,03/09/2023
3177,18/10/2014,yogurt,18/01/2024
2300,16/03/2014,pork,16/06/2023
4653,09/11/2014,ice cream,09/02/2024
4124,25/12/2014,chicken,25/03/2024
1677,24/07/2014,citrus fruit,24/10/2023
1926,25/07/2014,frankfurter,25/10/2023
3156,13/11/2014,sausage,13/02/2024
4993,19/08/2014,tropical fruit,19/11/2023
1396,03/12/2014,sausage,03/03/2024
1353,27/12/2014,cooking chocolate,27/03/2024
2356,21/04/2014,chicken,21/07/2023
4028,10/10/2014,semi-finished bread,10/01/2024
1878,09/01/2014,chicken,09/04/2023
2048,24/02/2014,semi-finished bread,24/05/2023
3639,29/11/2014,yogurt,29/02/2024
2113,19/09/2014,yogurt,19/12/2023
1440,14/07/2014,whole milk,14/10/2023
1285,08/01/2014,butter,08/04/2023
3242,29/07/2014,UHT-milk,29/10/2023
2808,02/09/2014,cereals,02/12/2023
4763,29/09/2014,other vegetables,29/12/2023
1176,09/05/2014,tropical fruit,09/08/2023
1077,30/12/2014,rolls/buns,30/03/2024
1933,21/10/2014,tropical fruit,21/01/2024
1594,15/04/2014,sugar,15/07/2023
3915,14/04/2014,pastry,14/07/2023
3992,15/11/2014,cream cheese ,15/02/2024
1426,26/10/2014,root vegetables,26/01/2024
2688,18/10/2014,canned beer,18/01/2024
3378,12/09/2014,rolls/buns,12/12/2023
4201,17/11/2014,soda,17/02/2024
2927,17/04/2014,beverages,17/07/2023
1801,07/09/2014,other vegetables,07/12/2023
4076,17/11/2014,other vegetables,17/02/2024
3117,09/01/2014,berries,09/04/2023
2168,07/02/2014,grapes,07/05/2023
2686,09/12/2014,soda,09/03/2024
4868,14/06/2014,other vegetables,14/09/2023
4706,31/03/2014,zwieback,01/07/2023
4705,20/06/2014,rolls/buns,20/09/2023
3184,19/03/2014,root vegetables,19/06/2023
4876,14/05/2014,yogurt,14/08/2023
1202,29/07/2014,yogurt,29/10/2023
2884,17/03/2014,bottled water,17/06/2023
4314,12/02/2014,other vegetables,12/05/2023
2331,28/12/2014,rolls/buns,28/03/2024
3917,06/03/2014,grapes,06/06/2023
3005,10/07/2014,tropical fruit,10/10/2023
1058,07/08/2014,yogurt,07/11/2023
4201,12/09/2014,curd,12/12/2023
1454,28/01/2014,brown bread,28/04/2023
4546,20/03/2014,oil,20/06/2023
4050,09/03/2014,beef,09/06/2023
3132,14/09/2014,pastry,14/12/2023
2014,18/07/2014,whole milk,18/10/2023
3324,29/12/2014,pastry,29/03/2024
1750,28/05/2014,beef,28/08/2023
4165,12/01/2014,tropical fruit,12/04/2023
3129,26/07/2014,pastry,26/10/2023
2742,02/06/2014,coffee,02/09/2023
3892,07/04/2014,newspapers,07/07/2023
3325,16/11/2014,whole milk,16/02/2024
2671,02/12/2014,pip fruit,02/03/2024
1052,29/09/2014,butter,29/12/2023
2827,16/10/2014,citrus fruit,16/01/2024
4339,10/06/2014,meat spreads,10/09/2023
2127,20/01/2014,whole milk,20/04/2023
4420,26/09/2014,whole milk,26/12/2023
3464,07/03/2014,salt,07/06/2023
1052,20/11/2014,bottled water,20/02/2024
2906,15/10/2014,coffee,15/01/2024
3828,25/04/2014,whole milk,25/07/2023
2374,14/05/2014,onions,14/08/2023
2041,09/02/2014,condensed milk,09/05/2023
1488,22/06/2014,root vegetables,22/09/2023
2373,22/08/2014,newspapers,22/11/2023
1366,29/08/2014,other vegetables,29/11/2023
1587,13/09/2014,yogurt,13/12/2023
3926,22/02/2014,salty snack,22/05/2023
4229,17/07/2014,butter milk,17/10/2023
2725,27/01/2014,hamburger meat,27/04/2023
2519,04/08/2014,photo/film,04/11/2023
1416,23/08/2014,sliced cheese,23/11/2023
2048,30/10/2014,hamburger meat,30/01/2024
1417,01/08/2014,yogurt,01/11/2023
4028,29/04/2014,tropical fruit,29/07/2023
4077,08/04/2014,misc. beverages,08/07/2023
3864,29/10/2014,pork,29/01/2024
4165,30/05/2014,rolls/buns,30/08/2023
3222,30/08/2014,whole milk,30/11/2023
4653,05/09/2014,fruit/vegetable juice,05/12/2023
1317,26/07/2014,citrus fruit,26/10/2023
2032,03/02/2014,whipped/sour cream,03/05/2023
3649,12/01/2014,pip fruit,12/04/2023
2393,22/03/2014,sausage,22/06/2023
3771,21/12/2014,bottled water,21/03/2024
1946,14/11/2014,dessert,14/02/2024
1431,13/10/2014,whipped/sour cream,13/01/2024
2445,02/09/2014,berries,02/12/2023
4819,20/08/2014,whole milk,20/11/2023
2781,10/07/2014,whole milk,10/10/2023
2302,29/01/2014,other vegetables,29/04/2023
3361,25/07/2014,cream cheese ,25/10/2023
1142,13/10/2014,other vegetables,13/01/2024
2293,14/04/2014,sausage,14/07/2023
2716,05/03/2014,dessert,05/06/2023
2666,16/05/2014,soda,16/08/2023
2645,16/06/2014,red/blush wine,16/09/2023
4464,18/02/2014,sausage,18/05/2023
1895,30/07/2014,butter milk,30/10/2023
2114,22/08/2014,dessert,22/11/2023
4242,30/01/2014,yogurt,30/04/2023
1771,03/10/2014,soda,03/01/2024
3891,11/10/2014,flour,11/01/2024
1327,18/07/2014,other vegetables,18/10/2023
2644,21/05/2014,Instant food products,21/08/2023
3862,03/04/2014,sausage,03/07/2023
3103,26/02/2014,misc. beverages,26/05/2023
3881,16/12/2014,frozen vegetables,16/03/2024
3038,16/07/2014,butter,16/10/2023
4656,24/05/2014,rolls/buns,24/08/2023
1025,10/03/2014,ham,10/06/2023
1040,14/06/2014,yogurt,14/09/2023
2945,16/11/2014,citrus fruit,16/02/2024
4178,26/05/2014,popcorn,26/08/2023
3193,18/04/2014,whole milk,18/07/2023
3217,04/10/2014,pork,04/01/2024
3653,07/09/2014,other vegetables,07/12/2023
4196,27/07/2014,other vegetables,27/10/2023
4408,02/07/2014,shopping bags,02/10/2023
2295,13/06/2014,rolls/buns,13/09/2023
2408,28/05/2014,other vegetables,28/08/2023
1889,26/06/2014,herbs,26/09/2023
4867,30/09/2014,butter,30/12/2023
4967,05/11/2014,soda,05/02/2024
1317,01/07/2014,specialty cheese,01/10/2023
4773,23/06/2014,other vegetables,23/09/2023
1970,22/02/2014,soda,22/05/2023
3494,31/03/2014,root vegetables,01/07/2023
3048,23/05/2014,pastry,23/08/2023
1924,18/02/2014,white wine,18/05/2023
2855,25/05/2014,tropical fruit,25/08/2023
4359,02/03/2014,butter milk,02/06/2023
3811,19/04/2014,dessert,19/07/2023
1923,20/11/2014,cream cheese ,20/02/2024
1921,12/12/2014,salt,12/03/2024
1598,18/07/2014,ice cream,18/10/2023
4627,22/02/2014,soft cheese,22/05/2023
2181,05/04/2014,bottled water,05/07/2023
3116,10/12/2014,whole milk,10/03/2024
4048,03/07/2014,ice cream,03/10/2023
1166,03/06/2014,bottled water,03/09/2023
3563,12/12/2014,bottled beer,12/03/2024
1374,11/09/2014,candy,11/12/2023
3732,27/03/2014,ham,27/06/2023
2952,22/04/2014,canned beer,22/07/2023
4091,26/08/2014,cream cheese ,26/11/2023
1470,11/06/2014,tropical fruit,11/09/2023
1893,22/07/2014,salt,22/10/2023
3596,04/11/2014,rolls/buns,04/02/2024
3524,08/09/2014,berries,08/12/2023
2144,22/02/2014,beef,22/05/2023
1237,12/03/2014,citrus fruit,12/06/2023
4830,04/04/2014,bottled beer,04/07/2023
3921,06/11/2014,rolls/buns,06/02/2024
2760,22/04/2014,bottled water,22/07/2023
4645,02/06/2014,chewing gum,02/09/2023
2616,24/10/2014,root vegetables,24/01/2024
2776,03/04/2014,pastry,03/07/2023
1801,19/11/2014,pastry,19/02/2024
2997,09/02/2014,yogurt,09/05/2023
4860,01/02/2014,sugar,01/05/2023
2173,15/12/2014,other vegetables,15/03/2024
2574,26/10/2014,beverages,26/01/2024
1535,26/06/2014,pork,26/09/2023
3745,22/12/2014,specialty bar,22/03/2024
1724,22/02/2014,fruit/vegetable juice,22/05/2023
4202,16/02/2014,female sanitary products,16/05/2023
1068,08/03/2014,soda,08/06/2023
2319,05/11/2014,beef,05/02/2024
4461,16/11/2014,newspapers,16/02/2024
3762,01/07/2014,sliced cheese,01/10/2023
1587,26/12/2014,curd,26/03/2024
1581,17/06/2014,meat,17/09/2023
3903,23/04/2014,rolls/buns,23/07/2023
1749,09/09/2014,berries,09/12/2023
2816,06/03/2014,citrus fruit,06/06/2023
1340,28/12/2014,mustard,28/03/2024
3618,07/10/2014,beef,07/01/2024
4146,05/08/2014,sausage,05/11/2023
2277,13/03/2014,other vegetables,13/06/2023
2011,25/09/2014,beverages,25/12/2023
2595,11/11/2014,herbs,11/02/2024
4567,01/05/2014,whipped/sour cream,01/08/2023
1465,27/06/2014,whole milk,27/09/2023
3046,03/04/2014,curd,03/07/2023
3647,15/05/2014,whole milk,15/08/2023
4833,27/04/2014,whole milk,27/07/2023
1565,30/10/2014,oil,30/01/2024
2531,09/01/2014,beef,09/04/2023
2362,27/10/2014,rolls/buns,27/01/2024
3163,29/12/2014,rolls/buns,29/03/2024
2915,29/07/2014,beef,29/10/2023
1250,08/10/2014,other vegetables,08/01/2024
3326,07/03/2014,beverages,07/06/2023
2154,10/11/2014,soda,10/02/2024
2621,27/09/2014,pip fruit,27/12/2023
2800,29/10/2014,other vegetables,29/01/2024
3066,20/09/2014,other vegetables,20/12/2023
1248,08/05/2014,citrus fruit,08/08/2023
1379,02/07/2014,whole milk,02/10/2023
1424,04/04/2014,berries,04/07/2023
1687,17/10/2014,coffee,17/01/2024
1625,21/05/2014,sausage,21/08/2023
2671,25/04/2014,pip fruit,25/07/2023
3906,30/10/2014,citrus fruit,30/01/2024
2058,02/04/2014,rolls/buns,02/07/2023
1509,09/04/2014,margarine,09/07/2023
2342,19/12/2014,root vegetables,19/03/2024
2432,15/11/2014,pip fruit,15/02/2024
2010,06/01/2014,other vegetables,06/04/2023
4631,25/02/2014,pip fruit,25/05/2023
3712,04/07/2014,citrus fruit,04/10/2023
4226,03/03/2014,citrus fruit,03/06/2023
1900,17/02/2014,pip fruit,17/05/2023
2943,01/01/2014,whole milk,01/04/2023
1835,09/10/2014,tropical fruit,09/01/2024
1363,21/07/2014,whole milk,21/10/2023
4662,20/05/2014,frozen meals,20/08/2023
4136,18/02/2014,sugar,18/05/2023
1295,13/03/2014,other vegetables,13/06/2023
1510,17/04/2014,other vegetables,17/07/2023
1248,09/05/2014,root vegetables,09/08/2023
3709,12/05/2014,pork,12/08/2023
2033,22/10/2014,berries,22/01/2024
1660,03/04/2014,packaged fruit/vegetables,03/07/2023
1546,03/10/2014,coffee,03/01/2024
3180,24/02/2014,citrus fruit,24/05/2023
1299,23/02/2014,rolls/buns,23/05/2023
4664,03/01/2014,beef,03/04/2023
4017,28/08/2014,soda,28/11/2023
4839,10/03/2014,packaged fruit/vegetables,10/06/2023
2907,02/08/2014,white wine,02/11/2023
1181,23/10/2014,white bread,23/01/2024
3730,26/07/2014,chicken,26/10/2023
4080,22/09/2014,whole milk,22/12/2023
1249,01/01/2014,citrus fruit,01/04/2023
4302,14/07/2014,hard cheese,14/10/2023
4459,12/08/2014,yogurt,12/11/2023
4070,28/05/2014,cake bar,28/08/2023
4972,13/06/2014,soda,13/09/2023
3534,08/01/2014,citrus fruit,08/04/2023
1389,13/11/2014,root vegetables,13/02/2024
2670,15/08/2014,brown bread,15/11/2023
3456,31/01/2014,canned fish,01/05/2023
4067,13/01/2014,whole milk,13/04/2023
4075,25/05/2014,other vegetables,25/08/2023
3563,26/06/2014,root vegetables,26/09/2023
3398,15/04/2014,hygiene articles,15/07/2023
3295,06/03/2014,yogurt,06/06/2023
4283,20/06/2014,other vegetables,20/09/2023
3641,02/04/2014,white bread,02/07/2023
2792,16/02/2014,mayonnaise,16/05/2023
4381,25/08/2014,specialty chocolate,25/11/2023
2051,20/01/2014,meat,20/04/2023
3120,10/12/2014,pip fruit,10/03/2024
2424,24/06/2014,other vegetables,24/09/2023
2261,25/07/2014,citrus fruit,25/10/2023
1705,05/05/2014,rolls/buns,05/08/2023
2155,31/10/2014,salty snack,31/01/2024
2108,18/09/2014,beverages,18/12/2023
2254,24/11/2014,butter,24/02/2024
2906,02/03/2014,whole milk,02/06/2023
3996,30/05/2014,whole milk,30/08/2023
2431,28/02/2014,whole milk,28/05/2023
4526,31/08/2014,hamburger meat,01/12/2023
4271,11/06/2014,whipped/sour cream,11/09/2023
1593,20/02/2014,canned beer,20/05/2023
2479,27/02/2014,domestic eggs,27/05/2023
4246,28/06/2014,soda,28/09/2023
2851,22/06/2014,bottled beer,22/09/2023
1940,26/09/2014,hygiene articles,26/12/2023
4169,24/05/2014,whole milk,24/08/2023
1814,25/07/2014,fruit/vegetable juice,25/10/2023
4969,27/10/2014,sausage,27/01/2024
1640,08/03/2014,root vegetables,08/06/2023
1076,24/12/2014,sausage,24/03/2024
2666,01/09/2014,root vegetables,01/12/2023
1659,25/12/2014,brown bread,25/03/2024
2439,16/02/2014,packaged fruit/vegetables,16/05/2023
3154,04/12/2014,bottled water,04/03/2024
1186,23/03/2014,white bread,23/06/2023
4028,12/06/2014,coffee,12/09/2023
2991,27/03/2014,butter milk,27/06/2023
3107,16/06/2014,newspapers,16/09/2023
3963,21/09/2014,citrus fruit,21/12/2023
4494,30/11/2014,frozen dessert,01/03/2024
3521,23/04/2014,butter milk,23/07/2023
1017,19/06/2014,yogurt,19/09/2023
1476,05/11/2014,liquor,05/02/2024
2696,17/10/2014,butter,17/01/2024
3921,02/02/2014,hard cheese,02/05/2023
3194,22/08/2014,liver loaf,22/11/2023
4394,27/05/2014,pastry,27/08/2023
4812,22/01/2014,tropical fruit,22/04/2023
2375,18/08/2014,whole milk,18/11/2023
3244,28/07/2014,rolls/buns,28/10/2023
2625,21/07/2014,whole milk,21/10/2023
1635,17/11/2014,chocolate,17/02/2024
1365,25/06/2014,rolls/buns,25/09/2023
2031,05/07/2014,other vegetables,05/10/2023
2332,14/09/2014,bathroom cleaner,14/12/2023
4896,03/05/2014,red/blush wine,03/08/2023
4216,25/12/2014,butter milk,25/03/2024
3103,10/12/2014,whole milk,10/03/2024
4955,21/10/2014,other vegetables,21/01/2024
1887,18/10/2014,bottled water,18/01/2024
2013,26/12/2014,yogurt,26/03/2024
1574,30/11/2014,whole milk,01/03/2024
3976,05/08/2014,tropical fruit,05/11/2023
1639,23/08/2014,ham,23/11/2023
3918,10/08/2014,rolls/buns,10/11/2023
4361,14/07/2014,citrus fruit,14/10/2023
3064,14/06/2014,frozen vegetables,14/09/2023
1175,28/06/2014,citrus fruit,28/09/2023
4800,29/12/2014,berries,29/03/2024
1759,01/08/2014,pet care,01/11/2023
2252,08/06/2014,yogurt,08/09/2023
4958,06/02/2014,chewing gum,06/05/2023
4082,07/05/2014,pastry,07/08/2023
2642,15/06/2014,pet care,15/09/2023
1805,02/05/2014,tropical fruit,02/08/2023
2706,03/05/2014,oil,03/08/2023
3843,09/12/2014,misc. beverages,09/03/2024
1061,17/03/2014,soda,17/06/2023
2345,30/11/2014,other vegetables,01/03/2024
3256,10/10/2014,canned beer,10/01/2024
1693,09/02/2014,UHT-milk,09/05/2023
4275,30/10/2014,canned beer,30/01/2024
1969,05/01/2014,other vegetables,05/04/2023
3185,12/06/2014,oil,12/09/2023
3474,29/10/2014,other vegetables,29/01/2024
4828,28/10/2014,zwieback,28/01/2024
1157,04/10/2014,tropical fruit,04/01/2024
2692,23/06/2014,hygiene articles,23/09/2023
3399,25/05/2014,brown bread,25/08/2023
3792,30/07/2014,beef,30/10/2023
1077,30/08/2014,canned beer,30/11/2023
2711,23/10/2014,ham,23/01/2024
2298,02/10/2014,root vegetables,02/01/2024
1991,25/12/2014,butter,25/03/2024
3821,08/03/2014,ice cream,08/06/2023
1591,29/12/2014,packaged fruit/vegetables,29/03/2024
2966,08/10/2014,other vegetables,08/01/2024
3795,04/02/2014,misc. beverages,04/05/2023
2970,11/11/2014,other vegetables,11/02/2024
4468,02/05/2014,bottled water,02/08/2023
1244,25/11/2014,rolls/buns,25/02/2024
4121,25/07/2014,liquor,25/10/2023
3424,08/05/2014,root vegetables,08/08/2023
1341,21/04/2014,honey,21/07/2023
3801,25/08/2014,rolls/buns,25/11/2023
2230,24/07/2014,sausage,24/10/2023
2323,27/12/2014,whole milk,27/03/2024
2907,02/11/2014,root vegetables,02/02/2024
2447,26/07/2014,rolls/buns,26/10/2023
4272,15/05/2014,margarine,15/08/2023
1433,22/09/2014,salty snack,22/12/2023
3846,04/08/2014,shopping bags,04/11/2023
4694,05/12/2014,onions,05/03/2024
1748,27/07/2014,whipped/sour cream,27/10/2023
4410,24/11/2014,whole milk,24/02/2024
4636,26/03/2014,citrus fruit,26/06/2023
1867,19/11/2014,cream cheese ,19/02/2024
4334,16/03/2014,bottled water,16/06/2023
1034,24/02/2014,pip fruit,24/05/2023
3461,19/05/2014,soda,19/08/2023
2488,26/08/2014,turkey,26/11/2023
4150,24/03/2014,bottled beer,24/06/2023
2412,12/12/2014,other vegetables,12/03/2024
3505,31/07/2014,candy,31/10/2023
2718,11/08/2014,packaged fruit/vegetables,11/11/2023
2564,14/01/2014,rolls/buns,14/04/2023
2005,18/10/2014,mustard,18/01/2024
3835,03/02/2014,soda,03/05/2023
2402,29/09/2014,cream cheese ,29/12/2023
4343,26/04/2014,pastry,26/07/2023
2562,30/04/2014,nut snack,30/07/2023
2753,23/02/2014,bottled beer,23/05/2023
4553,04/11/2014,other vegetables,04/02/2024
3760,07/03/2014,other vegetables,07/06/2023
3729,24/12/2014,shopping bags,24/03/2024
1674,07/06/2014,detergent,07/09/2023
3817,29/12/2014,dessert,29/03/2024
4933,02/07/2014,white wine,02/10/2023
3836,14/06/2014,soda,14/09/2023
4925,26/09/2014,pip fruit,26/12/2023
4886,04/07/2014,cream cheese ,04/10/2023
4504,21/01/2014,misc. beverages,21/04/2023
3830,28/01/2014,curd,28/04/2023
4234,22/01/2014,other vegetables,22/04/2023
1727,11/08/2014,brown bread,11/11/2023
2511,10/11/2014,sugar,10/02/2024
4232,07/07/2014,root vegetables,07/10/2023
3081,18/07/2014,detergent,18/10/2023
4906,17/07/2014,beef,17/10/2023
4018,28/02/2014,yogurt,28/05/2023
2890,13/02/2014,bottled water,13/05/2023
1822,05/06/2014,candy,05/09/2023
3849,18/02/2014,berries,18/05/2023
3238,03/07/2014,root vegetables,03/10/2023
4458,21/03/2014,seasonal products,21/06/2023
1522,24/12/2014,margarine,24/03/2024
1419,08/12/2014,yogurt,08/03/2024
4652,26/08/2014,yogurt,26/11/2023
3896,06/04/2014,spread cheese,06/07/2023
2754,04/06/2014,whole milk,04/09/2023
2068,21/07/2014,female sanitary products,21/10/2023
2522,17/07/2014,bottled water,17/10/2023
4434,28/01/2014,chewing gum,28/04/2023
4896,05/03/2014,root vegetables,05/06/2023
3462,21/09/2014,pip fruit,21/12/2023
1341,08/11/2014,bottled water,08/02/2024
4036,14/06/2014,rolls/buns,14/09/2023
1811,13/11/2014,tropical fruit,13/02/2024
2247,11/08/2014,fruit/vegetable juice,11/11/2023
3727,13/07/2014,whole milk,13/10/2023
2626,09/08/2014,whole milk,09/11/2023
3225,19/09/2014,other vegetables,19/12/2023
1483,25/01/2014,fruit/vegetable juice,25/04/2023
2062,22/08/2014,domestic eggs,22/11/2023
3310,09/09/2014,soda,09/12/2023
4500,25/10/2014,curd,25/01/2024
3643,06/03/2014,whipped/sour cream,06/06/2023
